news_headline,news_article,news_category
India end their 7-match losing streak as Australia lose ODI in Canberra for 1st time,India defeated Australia by 13 runs in the third ODI in Canberra on Wednesday to end their seven-match losing streak in international cricket across all formats. This is the first time that Australia have lost an ODI in Canberra. Hardik Pandya top-scored for India in the match with 92*(76). The three-match Australia-India T20I series will begin on Friday.,sports
World has officially gone nuts: Vaughan on analyst sending signals to Morgan ,"Ex-England captain Michael Vaughan took to Twitter to react to England analyst Nathan Leamon sending coded information to England captain Eoin Morgan from the team balcony during the third South Africa-England T20I. ""Signals sent from an analyst on a balcony to the captain on the pitch !!!! The world has officially gone nuts !!! #SAvENG #OnOn,"" Vaughan tweeted.",sports
"Sanjay Manjrekar gets trolled after Pandya, Jadeja share 150-run partnership","Sanjay Manjrekar, who said Hardik Pandya and Ravindra Jadeja wouldn't be in his ODI team, was trolled after the duo shared an unbeaten 150-run partnership against Australia. ""If Manjrekar comments on whole squad...every batsman will play well,"" a fan tweeted. Another wrote, ""Today Manjrekar got a befitting reply. Irony was he was the commentator when the two got going.""",sports
"I saw death coming, told myself I had to get out for my children: F1 driver on crash","F1 driver Romain Grosjean, whose car burst into flames and split into two after a 225-kmph crash at the Bahrain Grand Prix, has said that he really saw death coming. ""I told myself that I had to get out for my children. I put my hands in the fire, so I clearly felt it burning on the chassis,"" he added.",sports
"Rohit finishes 2020 with highest ODI score for India, streak continues for 8th year","Rohit Sharma has hit highest yearly individual ODI score for India each time for eight years. His 119(128) against Australia in January is highest ODI score by an Indian this year, while his 159(138) was India's best in 2019. Rohit's 209(158), 264(173), 150(133), 171*(163), 208*(153) and 162(137) were India's highest scores in 2013, 2014, 2015, 2016, 2017 and 2018 respectively.",sports
How many batsmen have scored 99 runs in an innings in T20I cricket history?,"England's Dawid Malan slammed 99*(47) to help his team defeat South Africa in the third T20I. With this, he became the third batsman in the history of T20I cricket to score 99 runs in an innings. The other two batsmen to have scored 99 runs in a T20I innings are also English (Alex Hales and Luke Wright).",sports
"Ajay Jadeja trolls Ravindra over ice pack on shoulder, says 'Ice should be in glass'","While interacting with Team India all-rounder Ravindra Jadeja following his match-winning performance against Australia in the third ODI, Ajay Jadeja enquired about the ice pack on his shoulder, saying, ""I am worried."" Ajay jokingly added, ""Ice should be in glass,"" to which Ravindra responded, ""Actually, it's night here. You are right ice should be in glass.""",sports
Online betting firms advertise during Ind-Aus ODIs live stream despite ban,"Advertisements of online sports betting firms Betway and Dafabet were shown during the live streaming of India-Australia ODI series. Since online sports betting is prohibited in India except in Sikkim, it can't be advertised according to the Advertising Standards Council of India guidelines. BCCI treasurer Arun Dhumal said they can't do anything about it since they don't have telecast rights.",sports
"Latest ICC rankings for T20I batsmen released, Malan creates history with 915 points","The ICC on Wednesday released the latest rankings for T20I batsmen, with England's Dawid Malan topping the batting charts. The 33-year-old has created history by reaching 915 points, the highest ever rating points achieved by a batsman in T20I cricket. Meanwhile, Team India captain Virat Kohli dropped to the number nine position in the rankings.",sports
Only one person heard sound in entire ground: Kohli as Gill urges him to take DRS,"On the last ball of Australia's 13th over in third ODI, pacer Shardul Thakur's delivery missed Moises Henriques' bat and was collected by wicketkeeper KL Rahul. Shubman Gill tried to convince Virat Kohli to take DRS, saying, ""I convincingly heard sound of bat clipping the ball,"" to which Kohli replied, ""Only one person heard the sound in the entire ground.""",sports
"Manjrekar praises Pandya after getting trolled over his remark on him, Jadeja","Sanjay Manjrekar, who was trolled for saying he has a problem with players like Ravindra Jadeja and Hardik Pandya in ODIs, praised Hardik after the duo shared a 150-run partnership. ""India have found...pure number six batsman. Who knows he might start going up the order,"" he said. ""Was skeptical about Hardik the pure batsman in 50-over cricket...Not anymore,"" he tweeted.",sports
"Kohli becomes fastest batsman to hit 12,000 ODI runs, breaks Sachin's record","India captain Virat Kohli has become the fastest batsman to score 12,000 runs in ODI cricket history. The 32-year-old achieved the feat in the third ODI against Australia in Canberra. Kohli took 242 innings to reach the milestone, breaking Sachin Tendulkar's record by 58 innings. Kohli is also the fastest batsman to reach 8,000, 9,000, 10,000 and 11,000 ODI runs.",sports
Kohli fails to score an ODI century in a calendar year for 1st time since debut year,"Team India captain Virat Kohli was dismissed for 63 runs off 78 deliveries in the third ODI against Australia, which is also India's last ODI of 2020. With this, Kohli failed to hit a hundred in 2020, marking the first instance of him failing to score an ODI ton in a calendar year since his debut year (2008).",sports
"Fan who proposed to girlfriend in ODI reveals they met because of mail, shares pic","Dipen Mandaliya, the India fan who proposed to his Australian girlfriend Rosilie Wimbush in the stands during the second Australia-India ODI in Sydney, revealed he met her for the first time due to a mail. He said when he moved to his Melbourne apartment in 2018, he had received mails meant for Rosilie and met her to return the mails. ",sports
"Natarajan becomes India's 232nd ODI cricketer, receives cap from Kohli",Fast bowler T Natarajan has become the 232nd cricketer to debut for India in ODI  cricket. The 29-year-old received his maiden cap from Team India captain Virat Kohli ahead of the third Australia-India ODI in Canberra on Wednesday. Natarajan is the 11th left-arm pacer to represent India in ODI cricket.,sports
"Coded messages sent to England captain from balcony by analyst, pics surface","During the third South Africa-England T20I, England analyst Nathan Leamon sent coded information to England captain Eoin Morgan from the team balcony. Leamon placed a series of numbers and letters like '4E' and '2C' on clipboards to suggest Morgan on how to impact the game. England and Wales Cricket Board said the signals were ""intended as a live informational resource"".",sports
"The Great Khali joins farmers' protest, says 'Govt has messed with wrong people'","Former WWE wrestler The Great Khali joined the farmers' protest at Delhi border on Tuesday and urged everyone to support the farmers. In a video shared on Instagram, he urged the government to roll back the farm laws. ""Government has messed with the wrong people. It will be tough for them,"" he added.",sports
Starc rested for 3rd ODI due to back and rib discomfort: Finch,"Australia captain Aaron Finch said pacer Mitchell Starc wasn't playing the third and final ODI against India since ""he got a little bit of a back and a rib niggle"". ""The medical staff think he will benefit from a few days off,"" Finch said at the toss. In the first two ODIs, Starc took just one wicket for 147 runs.",sports
Michael Schumacher's son Mick to race for Haas in 2021 F1 season,"Mick Schumacher, son of seven-time world champion Michael Schumacher, will be racing for Haas in the next Formula One season. The 21-year-old German signed a multi-year agreement and will partner Russian Nikita Mazepin. ""The prospect of being on the Formula One grid next year makes me incredibly happy...I'm simply speechless,"" said Mick. He is currently leading the Formula Two championship.",sports
